# t/ns;T1/us;T2/us;T3/us
53958;8864;15509;13080
54049;8867;15560;13210
54139;8867;15614;13260
54229;8840;15539;13280
54319;8816;15449;13280
54411;8816;15548;13420
54501;8897;15605;13370
54592;8840;15386;13380
54682;8783;15641;13370
54772;8768;15494;13540
54863;8906;15605;13420
54953;8975;15512;13460
55043;8879;15422;13170
55133;8942;15560;13000
55223;8966;15602;13000
55314;8843;15587;13350
55404;8840;15506;13290
55494;8876;15503;13210
55584;8894;15557;13060
55674;8831;15602;13170
55765;8828;15488;13160
55855;8900;15488;13160
55946;8900;15512;13090
56036;8897;15650;13010
56127;8846;15494;13150
56218;8894;15593;13150
56309;8894;15647;13410
56404;8924;15530;13350
56498;8939;15515;13250
56591;8972;15533;13250
56685;8951;15521;13280
56778;8867;15602;13300
56869;8954;15380;13530
56961;8882;15389;13270
57052;8990;15488;13180
57143;8996;15503;13130
57234;8918;15578;13330
57325;8810;15578;13290
57417;8882;15593;13280
57508;8855;15677;13280
57598;8846;15539;13290
57689;8849;15593;13230
57780;8837;15515;13230
57870;8861;15641;13150
57961;8870;15521;13390
58051;8888;15686;13380
58142;8906;15524;13380
58232;8822;15548;13410
58322;8822;15431;13240
58414;8996;15551;13340
58504;8858;15566;13300
58595;8933;15440;13300
58686;8906;15674;13320
58776;8756;15569;13320
58866;8825;15623;13240
58957;8804;15530;13240
59047;8957;15533;13330
59137;8918;15539;13100
59228;8942;15614;13270
59318;8852;15560;13350
59410;8921;15497;13350
59500;8897;15512;13290
59591;8870;15479;13290
59681;8942;15548;13330
59771;8783;15641;13320
59862;8846;15449;13350
59952;8876;15575;13350
60042;8741;15458;13400
60133;8879;15602;13460
60223;8855;15497;13370
60314;8849;15587;13440
60406;8864;15530;13150
60498;8918;15530;13150
60591;8900;15578;13150
60684;8888;15593;13260
60778;8783;15488;13260
60872;8795;15503;13070
60964;8960;15506;12990
61057;8795;15548;13440
61149;8762;15629;13240
61240;8888;15533;13240
61331;8804;15431;13290
61423;8831;15503;13430
61514;8828;15368;13090
61605;8837;15521;13090
61696;8870;15512;13340
61787;8870;15566;13340
61877;8771;15530;13470
61968;8813;15578;13390
62058;8879;15638;13390
62148;8879;15575;13500
62239;8894;15560;13190
62330;8720;15551;13190
62426;8837;15593;13290
62516;8957;15674;13380
62606;8927;15614;13450
62697;8978;15578;13410
62788;8852;15596;13410
62878;8918;15434;13220
62968;8831;15647;13120
63059;8858;15683;13120
63150;8993;15617;13320
63242;8891;15566;13510
63335;8876;15560;13310
63414;8867;15647;13240
63505;8879;15566;13260
63596;8978;15470;13500
63686;8981;15470;13300
63777;8888;15605;13170
63867;8924;15524;13490
63957;8915;15524;13430
64047;8912;15521;13190
64137;8885;15569;13360
64227;8888;15596;13140
64318;8939;15683;13140
64410;8963;15593;13090
64501;8915;15476;13260
64591;8951;15479;13260
64682;8837;15560;13330
64774;9005;15533;13230
64867;8819;15569;13230
64961;8918;15440;13340
65054;8924;15737;13340
65148;8924;15521;13360
65240;8885;15560;13440
65332;8825;15575;13440
65425;8858;15548;13280
65516;8852;15542;13280
65607;8852;15593;13490
65698;8882;15398;13090
65789;8885;15440;13090
65880;8861;15605;13370
65970;8882;15560;13250
66061;8849;15602;13200
66152;8978;15530;13200
66242;8927;15542;13420
66333;8927;15524;13410
66425;8945;15482;13360
66515;8852;15584;13360
66606;8858;15659;13070
66696;8981;15542;13490
66786;8738;15560;13190
66876;8858;15587;13190
66967;8867;15506;13390
67058;8897;15566;13390
67148;8861;15431;13300
67238;8753;15503;13190
67329;8861;15611;13150
67420;8870;15620;13150
67510;8963;15512;13260
67601;8861;15500;13340
67691;8873;15590;13230
67782;8957;15575;13230
67872;8927;15614;13470
67962;8870;15545;13330
68052;8939;15497;13330
68143;8885;15503;13340
68233;8843;15638;13470
68323;8843;15446;13400
68415;8819;15569;13020
68505;8957;15677;13020
68596;8972;15587;13270
68687;8747;15467;13310
68777;8903;15524;13130
68868;8831;15512;13130
68959;8909;15479;13190
69052;8828;15479;13130
69145;8861;15629;13250
69239;8906;15542;13250
69332;8909;15611;13320
69427;8981;15611;13070
69519;8897;15515;13100
69611;8948;15557;13100
69703;8795;15491;13340
69794;9038;15593;13370
69885;8864;15632;13150
69976;8885;15524;13380
70067;8918;15647;13250
70158;8837;15479;13250
70249;8837;15584;13270
70340;8834;15503;13460
70431;8885;15584;13320
70521;8864;15557;13320
70612;8864;15524;13420
70702;8909;15596;13330
70793;8996;15578;13330
70883;8876;15539;13470
70974;8876;15719;13230
71064;8918;15542;13510
71155;8894;15560;13340
71245;8948;15614;13340
71335;9008;15467;13340
71427;8927;15479;13350
71517;8948;15647;13300
71607;8786;15485;13530
71698;8972;15584;13360
71789;8900;15431;13300
71879;8930;15557;13300
71969;8852;15506;13240
72060;8852;15704;13100
72150;8819;15506;13330
72240;8885;15485;13500
72331;8795;15458;13290
72422;8786;15458;13230
